Altium Designer Pick and Place Locations
F:\Tincho\Facultad\6 - Proyecto Final\repo\Modulo de conexion\Hardware\Control_Module\Control_Module_V1\Project Outputs for Control_Module_V1\Pick Place\Pick Place for Control_Module_PCB_V1.csv

========================================================================================================================
File Design Information:

Date:       17/06/25
Time:       18:08
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Comment","Center-X(mm)","Layer","Center-Y(mm)","Rotation","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"CN1","PJ002B","CN_PowerJack","7.2000","TopLayer","83.4500","180","10.2000","85.8000","10.2000","85.8000"
"D1","D_SMA","SS14","13.2000","TopLayer","77.2000","0","13.2000","77.2000","11.2000","77.2000"
"J3","TE_6116173-4","RJ45","39.7000","TopLayer","92.5700","180","39.7000","97.1400","36.1200","94.6000"
"J6","2","Terminal 2x3 Pin - 2.54 Pitch","41.9000","TopLayer","56.8000","180","41.9000","56.8000","44.4400","58.0700"
"J5","2","Terminal 2x3 Pin - 2.54 Pitch","41.9000","TopLayer","50.4000","180","41.9000","50.4000","44.4400","51.6700"
"J2","2","Terminal 2x3 Pin - 2.54 Pitch","60.2000","TopLayer","96.4700","180","60.2000","96.4700","62.7400","97.7400"
"FB8","CHOKE0603","Choke","31.4000","TopLayer","80.0000","270","31.4000","80.0000","31.4000","80.7350"
"D5","D_SMA","SS14","24.6000","TopLayer","91.8000","90","24.6000","91.8000","24.6000","89.8000"
"J4","GCT_USB4105GFA120","USB4105GFA120","70.0225","TopLayer","63.2000","90","72.4000","63.2000","67.6450","61.4500"
"FB7","CHOKE0603","Choke 450mO ±25%","9.2000","TopLayer","8.6000","180","9.2000","8.6000","9.9350","8.6000"
"J7","","RJ45-4","7.9400","TopLayer","43.4950","270","5.2750","43.4950","5.4000","63.5500"
"BT1","KEYSTONE_1063TR_1063TR","CR2032","34.6000","TopLayer","24.2000","180","34.6000","24.2000","34.6000","10.2000"
"U13","21-0041B_8","DS3231MZ/V+","52.6000","TopLayer","22.4000","90","52.6000","22.4000","50.6950","19.9362"
"U12","SOT95P280X110-6N","TPS563200DDCR","19.8000","TopLayer","83.0000","0","19.8000","83.0000","18.6450","83.9500"
"U11","SOIC127P700X230-4N","TCMT1100","22.0000","TopLayer","51.4050","90","22.0000","51.4050","21.3650","48.2200"
"U10","SOIC127P700X230-4N","TCMT1100","22.0000","TopLayer","66.5843","90","22.0000","66.5843","21.3650","63.3993"
"U9","SOIC127P700X230-4N","TCMT1100","22.0000","TopLayer","18.7700","90","22.0000","18.7700","21.3650","15.5850"
"U8","SOIC127P700X230-4N","TCMT1100","22.0000","TopLayer","35.2000","90","22.0000","35.2000","21.3650","32.0150"
